insert_i,recall
0,0.880000
1,0.910000
2,0.980000
3,0.860000
4,0.970000
5,0.880000
6,0.890000
7,0.870000
8,0.840000
9,0.920000
10,0.910000
11,0.890000
12,0.890000
13,0.890000
14,0.870000
15,0.890000
16,0.920000
17,0.890000
18,0.830000
19,0.870000
20,0.870000
21,0.880000
22,0.900000
23,0.900000
24,0.900000
25,0.930000
26,0.870000
27,0.860000
28,0.880000
29,0.850000
30,0.890000
31,0.840000
32,0.890000
33,0.820000
34,0.910000
35,0.830000
36,0.870000
37,0.880000
38,0.920000
39,0.880000
40,0.840000
41,0.870000
42,0.920000
43,0.870000
44,0.930000
45,0.880000
46,0.850000
47,0.890000
48,0.860000
49,0.830000
50,0.820000
51,0.960000
52,0.890000
53,0.920000
54,0.890000
55,0.910000
56,0.880000
57,0.860000
58,0.870000
59,0.900000
60,0.860000
61,0.880000
62,0.940000
63,0.860000
64,0.870000
65,0.860000
66,0.800000
67,0.880000
68,0.910000
69,0.860000
70,0.850000
71,0.930000
72,0.860000
73,0.920000
74,0.890000
75,0.920000
76,0.880000
77,0.820000
78,0.820000
79,0.910000
80,0.830000
81,0.930000
82,0.920000
83,0.910000
84,0.900000
85,0.800000
86,0.850000
87,0.870000
88,0.870000
89,0.870000
90,0.910000
91,0.880000
92,0.960000
93,0.810000
94,0.930000
95,0.900000
96,0.800000
97,0.830000
98,0.940000
99,0.940000
100,0.770000
101,0.910000
102,0.950000
103,0.900000
104,0.910000
105,0.870000
106,0.890000
107,0.940000
108,0.910000
109,0.930000
110,0.960000
111,0.880000
112,0.870000
113,0.830000
114,0.920000
115,0.850000
116,0.980000
117,0.920000
118,0.920000
119,0.910000
120,0.920000
121,0.910000
122,0.790000
123,0.910000
124,0.940000
125,0.880000
126,0.940000
127,0.910000
128,0.840000
129,0.900000
130,0.970000
131,0.920000
132,0.880000
133,0.940000
134,0.900000
135,0.860000
136,0.840000
137,0.850000
138,0.870000
139,0.950000
140,0.860000
141,0.960000
142,0.930000
143,0.930000
144,0.850000
145,0.930000
146,0.900000
147,0.960000
148,0.940000
149,0.950000
150,0.910000
151,0.910000
152,0.860000
153,0.900000
154,0.920000
155,0.910000
156,0.880000
157,0.860000
158,0.860000
159,0.890000
160,0.800000
161,0.930000
162,0.880000
163,0.900000
164,0.900000
165,0.810000
166,0.920000
167,0.880000
168,0.930000
169,0.940000
170,0.940000
171,0.830000
172,0.820000
173,0.840000
174,0.890000
175,0.800000
176,0.880000
177,0.830000
178,0.850000
179,0.940000
180,0.900000
181,0.870000
182,0.910000
183,0.880000
184,0.870000
185,0.850000
186,0.940000
187,0.950000
188,0.910000
189,0.810000
190,0.890000
191,0.870000
192,0.890000
193,0.860000
194,0.880000
195,0.850000
196,0.910000
197,0.850000
198,0.900000
199,0.840000
200,0.810000
201,0.900000
202,0.870000
203,0.890000
204,0.940000
205,0.870000
206,0.890000
207,0.920000
208,0.860000
209,0.880000
210,0.850000
211,0.800000
212,0.860000
213,0.900000
214,0.940000
215,0.850000
216,0.850000
217,0.940000
218,0.840000
219,0.800000
220,0.830000
221,0.850000
222,0.890000
223,0.890000
224,0.800000
225,0.880000
226,0.860000
227,0.910000
228,0.910000
229,0.870000
230,0.880000
231,0.870000
232,0.850000
233,0.880000
234,0.920000
235,0.900000
236,0.920000
237,0.850000
238,0.810000
239,0.860000
240,0.880000
241,0.860000
242,0.800000
243,0.850000
244,0.890000
245,0.900000
246,0.920000
247,0.890000
248,0.820000
249,0.870000
250,0.950000
251,0.960000
252,0.830000
253,0.880000
254,0.830000
255,0.890000
256,0.830000
257,0.880000
258,0.930000
259,0.950000
260,0.910000
261,0.840000
262,0.910000
263,0.900000
264,0.840000
265,0.820000
266,0.930000
267,0.890000
268,0.830000
269,0.860000
270,0.840000
271,0.860000
272,0.930000
273,0.850000
274,0.850000
275,0.900000
276,0.860000
277,0.890000
278,0.840000
279,0.850000
280,0.960000
281,0.940000
282,0.840000
283,0.910000
284,0.870000
285,0.940000
286,0.930000
287,0.900000
288,0.930000
289,0.910000
290,0.860000
291,0.900000
292,0.880000
293,0.890000
294,0.910000
295,0.860000
296,0.910000
297,0.810000
298,0.810000
299,0.950000
300,0.900000
301,0.890000
302,0.870000
303,0.890000
304,0.910000
305,0.920000
306,0.850000
307,0.880000
308,0.850000
309,0.900000
310,0.930000
311,0.880000
312,0.810000
313,0.780000
314,0.870000
315,0.830000
316,0.820000
317,0.810000
318,0.930000
319,0.920000
320,0.890000
321,0.890000
322,0.850000
323,0.890000
324,0.900000
325,0.850000
326,0.860000
327,0.850000
328,0.830000
329,0.900000
330,0.870000
331,0.870000
332,0.840000
333,0.890000
334,0.880000
335,0.890000
336,0.900000
337,0.910000
338,0.820000
339,0.820000
340,0.930000
341,0.900000
342,0.920000
343,0.930000
344,0.780000
345,0.930000
346,0.850000
347,0.810000
348,0.830000
349,0.810000
350,0.860000
351,0.880000
352,0.890000
353,0.870000
354,0.920000
355,0.870000
356,0.790000
357,0.840000
358,0.890000
359,0.940000
360,0.890000
361,0.910000
362,0.930000
363,0.840000
364,0.880000
365,0.940000
366,0.910000
367,0.920000
368,0.760000
369,0.890000
370,0.890000
371,0.920000
372,0.900000
373,0.850000
374,0.890000
375,0.810000
376,0.890000
377,0.890000
378,0.860000
379,0.910000
380,0.850000
381,0.910000
382,0.900000
383,0.890000
384,0.860000
385,0.930000
386,0.860000
387,0.890000
388,0.910000
389,0.790000
390,0.800000
391,0.820000
392,0.940000
393,0.870000
394,0.920000
395,0.800000
396,0.850000
397,0.820000
398,0.890000
399,0.920000
400,0.870000
401,0.910000
402,0.790000
403,0.830000
404,0.850000
405,0.830000
406,0.960000
407,0.770000
408,0.870000
409,0.930000
410,0.900000
411,0.760000
412,0.840000
413,0.790000
414,0.830000
415,0.900000
416,0.880000
417,0.860000
418,0.750000
419,0.860000
420,0.820000
421,0.920000
422,0.910000
423,0.890000
424,0.890000
425,0.920000
426,0.930000
427,0.860000
428,0.930000
429,0.840000
430,0.840000
431,0.870000
432,0.870000
433,0.830000
434,0.860000
435,0.900000
436,0.920000
437,0.860000
438,0.860000
439,0.910000
440,0.900000
441,0.920000
442,0.890000
443,0.890000
444,0.870000
445,0.870000
446,0.810000
447,0.870000
448,0.870000
449,0.890000
450,0.780000
451,0.840000
452,0.930000
453,0.830000
454,0.940000
455,0.860000
456,0.770000
457,0.820000
458,0.940000
459,0.890000
460,0.820000
461,0.910000
462,0.860000
463,0.880000
464,0.900000
465,0.860000
466,0.850000
467,0.910000
468,0.930000
469,0.810000
470,0.870000
471,0.880000
472,0.910000
473,0.900000
474,0.880000
475,0.840000
476,0.890000
477,0.880000
478,0.830000
479,0.880000
480,0.840000
481,0.770000
482,0.870000
483,0.860000
484,0.900000
485,0.890000
486,0.860000
487,0.850000
488,0.890000
489,0.780000
490,0.870000
491,0.900000
492,0.830000
493,0.890000
494,0.850000
495,0.930000
496,0.850000
497,0.840000
498,0.850000
499,0.910000
500,0.890000
501,0.860000
502,0.820000
503,0.920000
504,0.770000
505,0.820000
506,0.870000
507,0.890000
508,0.820000
509,0.930000
510,0.910000
511,0.790000
512,0.930000
513,0.830000
514,0.830000
515,0.920000
516,0.850000
517,0.950000
518,0.850000
519,0.860000
520,0.890000
521,0.920000
522,0.750000
523,0.880000
524,0.790000
525,0.850000
526,0.840000
527,0.870000
528,0.900000
529,0.930000
530,0.900000
531,0.920000
532,0.820000
533,0.840000
534,0.830000
535,0.920000
536,0.860000
537,0.750000
538,0.890000
539,0.920000
540,0.850000
541,0.820000
542,0.820000
543,0.910000
544,0.770000
545,0.860000
546,0.930000
547,0.890000
548,0.850000
549,0.880000
550,0.910000
551,0.890000
552,0.870000
553,0.820000
554,0.770000
555,0.820000
556,0.840000
557,0.870000
558,0.850000
559,0.860000
560,0.890000
561,0.850000
562,0.890000
563,0.900000
564,0.870000
565,0.770000
566,0.810000
567,0.910000
568,0.890000
569,0.910000
570,0.880000
571,0.840000
572,0.900000
573,0.770000
574,0.840000
575,0.810000
576,0.750000
577,0.870000
578,0.800000
579,0.920000
580,0.850000
581,0.950000
582,0.870000
583,0.910000
584,0.870000
585,0.860000
586,0.810000
587,0.870000
588,0.830000
589,0.840000
590,0.810000
591,0.800000
592,0.800000
593,0.910000
594,0.900000
595,0.810000
596,0.910000
597,0.930000
598,0.870000
599,0.940000
600,0.820000
