worker_type,worker_id,completed_ops,target_ops,wall_seconds,avg_latency_seconds,p95_latency_seconds,max_latency_seconds
reader,0,10000,10000,186.377418,0.018633,0.070118,0.338842
reader,1,10000,10000,188.542366,0.018849,0.070237,0.282121
reader,2,10000,10000,187.427953,0.018737,0.070429,0.288234
reader,3,10000,10000,186.959936,0.018690,0.069551,0.209186
reader,4,10000,10000,189.320984,0.018927,0.070775,0.324420
reader,5,10000,10000,188.900246,0.018884,0.069439,0.247327
reader,6,10000,10000,183.947538,0.018389,0.069894,0.228875
reader,7,10000,10000,189.293441,0.018924,0.071816,0.238035
reader,8,10000,10000,185.276314,0.018522,0.068326,0.280993
reader,9,10000,10000,190.269901,0.019021,0.072602,0.240324
reader,10,10000,10000,187.099814,0.018705,0.069156,0.275929
reader,11,10000,10000,189.135842,0.018908,0.069626,0.289861
reader,12,10000,10000,187.236403,0.018718,0.070101,0.241523
reader,13,10000,10000,189.335852,0.018928,0.069586,0.252994
reader,14,10000,10000,188.998190,0.018894,0.069557,0.231890
reader,15,10000,10000,188.914210,0.018886,0.070995,0.316463
reader,16,10000,10000,190.935408,0.019088,0.071818,0.243365
reader,17,10000,10000,184.334067,0.018428,0.069075,0.278414
reader,18,10000,10000,189.502535,0.018945,0.070715,0.284483
reader,19,10000,10000,188.484317,0.018843,0.070986,0.261011
reader,20,10000,10000,189.128512,0.018907,0.070280,0.264176
reader,21,10000,10000,183.804430,0.018375,0.068727,0.241482
reader,22,10000,10000,187.150365,0.018709,0.068621,0.252609
reader,23,10000,10000,188.762567,0.018871,0.068445,0.284568
reader,24,10000,10000,190.669846,0.019061,0.069684,0.243021
reader,25,10000,10000,190.260250,0.019020,0.071750,0.228038
reader,26,10000,10000,187.242929,0.018705,0.069842,0.272035
reader,27,10000,10000,186.885834,0.018683,0.069946,0.272314
reader,28,10000,10000,188.500696,0.018845,0.071036,0.228236
reader,29,10000,10000,190.034717,0.018998,0.071494,0.229212
reader,30,10000,10000,186.765023,0.018671,0.068751,0.338447
reader,31,10000,10000,189.467506,0.018941,0.069964,0.251428
reader,32,10000,10000,188.699152,0.018865,0.070653,0.240386
reader,33,10000,10000,190.610740,0.019056,0.072272,0.283143
reader,34,10000,10000,190.101072,0.019005,0.069264,0.279728
reader,35,10000,10000,189.411376,0.018936,0.071859,0.266007
reader,36,10000,10000,188.740784,0.018856,0.070232,0.283571
reader,37,10000,10000,190.740425,0.019069,0.069565,0.316714
reader,38,10000,10000,188.058458,0.018795,0.069752,0.299670
reader,39,10000,10000,187.459282,0.018741,0.070350,0.250137
reader,40,10000,10000,188.210767,0.018815,0.069399,0.258565
reader,41,10000,10000,186.443770,0.018639,0.070313,0.246015
reader,42,10000,10000,189.264870,0.018921,0.071674,0.298049
reader,43,10000,10000,188.705385,0.018865,0.069612,0.289447
reader,44,10000,10000,186.558173,0.018651,0.068788,0.229410
reader,45,10000,10000,190.409252,0.019036,0.073188,0.228459
reader,46,10000,10000,186.705050,0.018665,0.069325,0.302243
reader,47,10000,10000,190.562177,0.019051,0.070358,0.228123
reader,48,10000,10000,189.785547,0.018973,0.071848,0.231741
reader,49,10000,10000,184.709210,0.018466,0.068851,0.258776
reader,50,10000,10000,189.472816,0.018942,0.070308,0.226948
reader,51,10000,10000,189.372985,0.018932,0.070713,0.268963
reader,52,10000,10000,190.457673,0.019041,0.070297,0.341888
reader,53,10000,10000,190.115689,0.019006,0.071177,0.241103
reader,54,10000,10000,188.389125,0.018834,0.069692,0.278674
