insert_i,recall
0,0.870000
1,0.920000
2,0.990000
3,0.860000
4,0.980000
5,0.890000
6,0.900000
7,0.880000
8,0.840000
9,0.940000
10,0.930000
11,0.890000
12,0.900000
13,0.890000
14,0.870000
15,0.900000
16,0.930000
17,0.930000
18,0.840000
19,0.900000
20,0.870000
21,0.890000
22,0.910000
23,0.910000
24,0.900000
25,0.950000
26,0.870000
27,0.880000
28,0.890000
29,0.850000
30,0.900000
31,0.860000
32,0.900000
33,0.830000
34,0.910000
35,0.830000
36,0.880000
37,0.880000
38,0.930000
39,0.890000
40,0.850000
41,0.880000
42,0.930000
43,0.880000
44,0.930000
45,0.880000
46,0.870000
47,0.900000
48,0.880000
49,0.830000
50,0.830000
51,0.980000
52,0.910000
53,0.950000
54,0.910000
55,0.900000
56,0.920000
57,0.880000
58,0.910000
59,0.910000
60,0.890000
61,0.890000
62,0.950000
63,0.900000
64,0.870000
65,0.840000
66,0.820000
67,0.890000
68,0.930000
69,0.880000
70,0.860000
71,0.930000
72,0.880000
73,0.940000
74,0.900000
75,0.960000
76,0.910000
77,0.820000
78,0.840000
79,0.920000
80,0.870000
81,0.940000
82,0.930000
83,0.920000
84,0.940000
85,0.850000
86,0.880000
87,0.910000
88,0.890000
89,0.870000
90,0.920000
91,0.880000
92,0.970000
93,0.830000
94,0.950000
95,0.910000
96,0.820000
97,0.840000
98,0.940000
99,0.950000
100,0.830000
101,0.930000
102,0.960000
103,0.910000
104,0.930000
105,0.890000
106,0.900000
107,0.960000
108,0.920000
109,0.950000
110,0.960000
111,0.920000
112,0.880000
113,0.830000
114,0.930000
115,0.870000
116,0.990000
117,0.950000
118,0.950000
119,0.920000
120,0.920000
121,0.930000
122,0.870000
123,0.930000
124,0.950000
125,0.890000
126,0.960000
127,0.930000
128,0.860000
129,0.930000
130,0.980000
131,0.940000
132,0.910000
133,0.940000
134,0.910000
135,0.880000
136,0.870000
137,0.890000
138,0.870000
139,0.960000
140,0.870000
141,0.980000
142,0.940000
143,0.960000
144,0.850000
145,0.930000
146,0.920000
147,0.970000
148,0.950000
149,0.970000
150,0.940000
151,0.920000
152,0.880000
153,0.930000
154,0.950000
155,0.940000
156,0.920000
157,0.880000
158,0.880000
159,0.900000
160,0.820000
161,0.950000
162,0.890000
163,0.920000
164,0.920000
165,0.850000
166,0.950000
167,0.890000
168,0.940000
169,0.960000
170,0.970000
171,0.860000
172,0.820000
173,0.840000
174,0.910000
175,0.810000
176,0.900000
177,0.880000
178,0.870000
179,0.970000
180,0.920000
181,0.900000
182,0.930000
